Ticker,31-Jan-22,30-Apr-22,31-Jul-22,31-Oct-22,31-Jan-23,30-Apr-23,31-Jul-23,31-Oct-23,31-Jan-24,30-Apr-24,31-Jul-24,31-Jan-25,30-Apr-25,31-Jul-25,31-Oct-25
IRDM,17.506,3.248,12.917,66.274,54.027,19.631,-14.138,-48.626,-25.899,-45.038,-15.611,-51.60914611,27.28126686,34.60697151,30.64216643
IRIX,-44.595,-57.294,-49.697,-119.754,-35.0107,-29.938,-37.305,31.858,-6.422,-4.103,-32.857,33.81248914,12.40349614,19.87177375,23.19045872
IRM,33.758,10.699,7.832,16.157,-0.126,22.19,19.081,36.631,34.552,24.10792669,17.08000883,60.3052669,21.11528207,11.64238077,10.10742545
IRMD,7.47,3.332,-23.576,-19.66,47.982,28.465,54.792,7.681,7.065,-4.253,9.343,-53.63549874,-26.40191078,-99.54161679,-59.43885622
IRON,-82.715,-53.494,-52.514,42.215,114.765,174.197,184.765,189.807,99.087,-19.029,30.675,34.10888229,44.25226086,48.3379303,50.89201465
IROQ,8.011,-23.518,-20.596,-27.328,-38.667,-3.3415,-22.401,-5.292,18.883,29.91,47.583,44.61707656,10.57970608,-9.865944741,-37.45833142
IRT,51.544,11.351,-30.427,-26.184,-34.757,-24.087,-24.635,-19.737,10.025,14.023,58.354,56.23276945,55.12019043,29.33088215,6.102721959
IRTC,60.321,201.977,-1.991,-16.694,7.258,-22.959,-23.049,6.853,-11.698,-26.956,-4.282,0.205112194,23.65194768,26.3333926,27.75898393
IRWD,16.683,-13.619,-9.698,5.877,-13.562,-16.289,-16.197,28.458,-29.864,-57.856,-51.05,-66.2517475,-17.6206354,-10.91125548,-7.212417922
ISDR,-12.824,-12.922,-15.72,-4.329,-19.798,-16.173,-16.405,-43.435,-33.688,-54.003,-44.032,-28.08074094,41.59791676,53.12151789,61.60427695
ISPC,56.305,-64.984,-75.316,-68.486,-33.068,-38.739,-60.256,-63.78,-69.91,-81.618,-60.161,-114.9035138,-48.01467334,-53.66985027,-60.34768806
ISPO,-48.649,-84.903,-86.778,-83.141,-86.004,-37.5,-86.381,-73.46123385,-73.46123385,-73.46123385,-73.13155907,-76.12932842,-74.35816363,-70.76884648,-72.83258057
ISRG,-15.073,-32.742,-35.7,-14.121,17.861,52.731,22.161,54.206,58.715,40.626,95.253,87.31302484,42.64154465,45.37697282,23.03131101
ISSC,45.05,-4.515,30.156,16.878,-25.711,14.467,-1.681,-1.925,-7.589,-14.673,-3.637915784,-34.13391719,-11.43516966,-7.892682116,6.016693931
ISTR,-8.242,-2.879,19.6,-4,-43.568,-35.066,-52.099,-15.243,31.139,23.034,115.174,151.0367729,88.80908516,70.62424205,-31.29495669
ISUNQ,-67.746,-44.305,-71.288,-81.102,-78.136,-92.536,-92.991,-70.833,-12.707,-40.61138041,-55.1660469,205.5301959,-108.3699877,60.62085137,-53.00433266
IT,24.675,-1.355,-4.325,26.476,7.42,18.72,18.988,31.159,34.281,45.025,32.782,59.01095701,16.17291335,13.79191462,13.72780699
ITCI,48.012,77.753,17.084,-12.708,16.397,4.545,0.964,45.843,38.34,25.03,63.173,90.48250852,62.74770486,111.7501245,118.7852201
ITGR,1.958155666,-16.824,-63.439,-8.95,15.37297605,15.37297605,30.919,36.212,40.866,24.067,57.976,55.15424962,-2.251489136,-15.03727521,-23.09067899
ITI,-60.352,-51.736,-49.153,7.297,48.148,42.808,58.519,34.509,23.183,2.638,-1.121501215,-22.5579948,-42.97062084,-42.61579859,-32.47559272
ITIC,-12.204,-15.852,-35.433,-25.884,-13.231,0.147,-0.359,6.709,31.225,30.792,64.496,85.56792973,105.6599762,119.3593429,81.32391785
ITOS,-16.95,8.273,-30.139,-50.721,-21.486,-55.076,-48.2,-24.476,-17.19,23.048,-13.709,15.27425915,-0.0815776,5.722786149,6.495209241
ITP,-37.23,-76.703,-81.914,-80,-84.063,-57.143,-58.194,-36.25,-48.798,-49.333,-16.611,-75.25504945,-31.34674004,-6.359007682,-37.47917074
ITRG,-67.647,-41.6223,-72.309,-60,-52.525,-50.118,-58.602,-49.286,-37.581,-0.354,32.199,-99.32635562,-36.15179758,-25.2417969,-14.78804573
ITRI,27.641661,-29.482,-44.537,8.538,33.415,51.125,48.552,76.768,69.548,41.183,74.353,125.3082565,66.1247167,48.16396999,53.33392333
ITRM,-79.181,-62.702,-83.216,-80.028,-65.233,-72.058,-44.755,33.913,14.926,11.009,72.152,89.29568612,36.271907,22.52125785,12.14188034
ITRN,-4.687,4.199,-22.869,-2.912,0.678,9.328,11.535,11.996,8.912,-4.881,3.291580139,16.57952878,-0.003180346,2.751196528,2.847785207
ITT,11.59356618,-26.314,-21.187,-21.829,26.33785672,13.001,69.726,30.117,47.53,36.772,46.411,89.15156723,18.68704144,16.09010606,0.87251426
ITW,-11.723,-7.452,-9.22,8.176,8.563,17.024,7.831,8.59,14.097,-1.131,18.502,33.76573249,32.11266088,38.4807984,24.02186296
IVAC,-24.138,-19.194,-11.489,42.946,-15.8692,0.399,-54.565,-44.611,-23.317,2.145,-26.868,-16.39996065,28.17075611,29.53097392,47.14572271
IVCB,4.87771186,5.875753226,5.875753226,5.311,5.7,7.264,7.647,7.707,9.788,6.03,4.87771186,20.29403855,12.66459903,-23.64810532,10.31362489
IVDA,56.305,-46.46246168,-46.46246168,-46.46246168,-46.46246168,-14.333,-19.885,-38.741,-53.681,-68.811,-68.73,-111.5850344,-90.24996751,-54.91361486,-39.42553522
IVR,-50.789,-51.45,-65.385,-46.008,-46.524,-31.079,-30.311,-34.299,-20.413,-22.546,3.827,-8.071680561,0.361716037,-4.48819379,-18.02114615
IVT,-65.458,14.739,-1.105,-4.11,-26.671,-11.99,-4.914323971,-4.914323971,-4.914323971,-4.914323971,16.832,11.44161999,8.754135144,8.424005158,8.419626005
IVVD,-45.03543195,-91.369,-82.506,-68.64,-47.426,-61.153,-60.674,210.49,1.714,-36.774,-43.571,1.966146558,-20.31299191,18.0934723,0.407200128
IVZ,-31.926,-26.579,-39.276,-21.05,-10.446,-8.603,-15.943,-12.176,3.29,5.501,38.242,12.71624708,3.430530612,-9.341115144,0.366644478
